# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "6" "-p" "-t" "exon" "-g" "gene_id" "-s" "2" "-a" "/mnt/d/BioInf/Task_2/Reference_genome/Fusarium_graminearum_ph_1_gca_000240135.ASM24013v3.62.gtf" "-o" "/mnt/d/BioInf/Task_2/Quantification_results/SRR10408675/counts.txt" "/mnt/d/BioInf/Task_2/Alignment_results/SRR10408675/SRR10408675_aligned_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/BioInf/Task_2/Alignment_results/SRR10408675/SRR10408675_aligned_sorted.bam
gene:FGSG_04468	2	3914637	3916119	+	1483	2109
gene:FGSG_12250	2;2;2	3917660;3918086;3918286	3917921;3918210;3918339	-;-;-	441	7044
gene:FGSG_12251	2;2;2;2;2	3919171;3919568;3919741;3920275;3920800	3919518;3919689;3920227;3920744;3921133	-;-;-;-;-	1761	8
gene:FGSG_04466	2	3921983	3922309	-	327	2
gene:FGSG_04465	2;2;2;2;2;2;2;2;2	3924805;3925102;3925305;3925652;3925838;3925966;3926233;3926565;3926706	3925065;3925220;3925586;3925771;3925883;3926164;3926505;3926650;3927098	+;+;+;+;+;+;+;+;+	1779	8
gene:FGSG_20007	2	3927268	3927383	-	116	2
gene:FGSG_12252	2	3929010	3929342	-	333	45
gene:FGSG_20008	2	3932209	3932324	-	116	2
gene:FGSG_04463	2	3933289	3934254	+	966	89
gene:FGSG_04462	2;2	3935004;3935503	3935446;3935620	-;-	561	23
gene:FGSG_04461	2;2	3936380;3937334	3936957;3937580	+;+	825	439
gene:FGSG_04460	2;2;2;2;2	3945132;3945449;3945528;3945545;3945735	3945371;3945465;3945532;3945729;3945752	-;-;-;-;-	465	67
gene:FGSG_12253	2	3946013	3946576	+	564	0
gene:FGSG_12254	2;2;2;2;2	3947494;3947592;3948053;3948277;3948832	3947533;3947755;3948203;3948306;3949127	+;+;+;+;+	681	44
gene:FGSG_04459	2;2	3955759;3957024	3956882;3957336	-;-	1437	92
gene:FGSG_04458	2	3958797	3960892	-	2096	18164
gene:FGSG_04457	2;2	3961115;3961599	3961511;3962776	-;-	1575	167
gene:FGSG_04456	2;2;2;2;2;2;2	3965583;3965857;3966295;3966630;3966896;3967315;3967488	3965693;3966242;3966575;3966832;3967262;3967441;3968241	+;+;+;+;+;+;+	2229	1933
gene:FGSG_04455	2;2	3968873;3969299	3969251;3970107	+;+	1188	0
gene:FGSG_04454	2;2	3970222;3971029	3970975;3971278	-;-	1004	8899
gene:FGSG_04453	2;2	3972311;3972414	3972352;3972911	+;+	540	373
gene:FGSG_04452	2	3973075	3976424	-	3350	1752
gene:FGSG_04451	2;2	3982115;3982371	3982304;3983903	+;+	1723	2016
gene:FGSG_12255	2;2	3988228;3989810	3989497;3990570	+;+	2031	314
gene:FGSG_12256	2;2;2	3993107;3993917;3994540	3993870;3994448;3994560	+;+;+	1317	2
gene:FGSG_04450	2	3998130	3998852	+	723	2
gene:FGSG_04449	2	3999950	4000333	+	384	4
gene:FGSG_04448	2	4000595	4001566	+	972	543
gene:FGSG_04447	2	4001655	4002107	-	453	2
gene:FGSG_04446	2;2;2	4003083;4003708;4006092	4003405;4006038;4007158	+;+;+	3721	285
gene:FGSG_04445	2	4007208	4007606	-	399	1691
gene:FGSG_04444	2	4008221	4009639	+	1419	527
gene:FGSG_04443	2;2	4010006;4010777	4010690;4010847	-;-	756	52
gene:FGSG_04442	2;2;2;2	4011247;4012138;4012319;4012600	4012081;4012263;4012555;4012871	-;-;-;-	1470	12
gene:FGSG_04441	2;2;2	4013705;4013774;4014325	4013713;4014277;4014687	-;-;-	876	0
gene:FGSG_04440	2;2;2;2;2;2;2;2	4015121;4015521;4015828;4017270;4017917;4018293;4020412;4021499	4015465;4015760;4016513;4017549;4018243;4020267;4021289;4021666	+;+;+;+;+;+;+;+	4899	2
gene:FGSG_04439	2;2;2;2	4023218;4027253;4028033;4029019	4027159;4027964;4028969;4030984	+;+;+;+	7557	392
gene:FGSG_04438	2;2;2	4031494;4032606;4033042	4032555;4032992;4033428	-;-;-	1836	4
gene:FGSG_04437	2;2	4034453;4035460	4035407;4036181	+;+	1677	80
gene:FGSG_04436	2;2	4036678;4036817	4036721;4037792	-;-	1020	65
gene:FGSG_04435	2;2	4039592;4039780	4039733;4041320	-;-	1683	100
gene:FGSG_04434	2;2	4045897;4047404	4047353;4047542	-;-	1596	395
gene:FGSG_04433	2;2;2	4049200;4050119;4050318	4050066;4050268;4050329	-;-;-	1029	0
gene:FGSG_04432	2	4050784	4052100	+	1317	26
gene:FGSG_04431	2;2	4057934;4059197	4059095;4059883	+;+	1849	10
gene:FGSG_04430	2;2	4061512;4062241	4062185;4062709	-;-	1143	2
gene:FGSG_04429	2	4063392	4066379	-	2988	98
gene:FGSG_04428	2;2	4067369;4067596	4067549;4068137	+;+	723	586
gene:FGSG_04427	2	4068685	4070714	-	2030	452
gene:FGSG_12257	2	4071823	4072134	-	312	2
gene:FGSG_12258	2	4073573	4073941	-	369	2
gene:FGSG_20009	2	4077050	4077165	-	116	0
gene:FGSG_04426	2;2;2	4077696;4077921;4078346	4077860;4078293;4079382	+;+;+	1575	248
gene:FGSG_04425	2	4082711	4087085	+	4375	1021
gene:FGSG_04424	2	4087396	4088559	-	1164	2240
gene:FGSG_12259	2;2	4089556;4090164	4089784;4090258	-;-	324	3
gene:FGSG_04423	2;2;2	4091061;4091248;4093649	4091149;4093597;4094008	+;+;+	2799	2762
gene:FGSG_04422	2	4096135	4096614	+	480	8
gene:FGSG_04421	2	4096915	4098285	+	1371	631
gene:FGSG_04420	2;2	4098633;4098740	4098691;4099625	+;+	945	1315
gene:FGSG_04419	2;2;2;2;2	4099761;4100208;4100792;4101095;4101742	4100155;4100736;4101043;4101694;4101938	-;-;-;-;-	1973	1451
gene:FGSG_04418	2;2	4103876;4106089	4106035;4106253	-;-	2325	1750
gene:FGSG_04417	2;2;2;2	4115370;4115651;4115860;4116617	4115597;4115809;4116564;4116676	+;+;+;+	1152	61
gene:FGSG_04416	2;2;2;2	4118090;4118229;4119266;4119475	4118153;4119211;4119414;4119589	-;-;-;-	1311	447
gene:FGSG_04415	2;2;2	4122514;4123431;4123559	4123380;4123510;4123778	+;+;+	1167	843
gene:FGSG_04414	2;2;2;2;2;2	4125171;4125426;4126069;4126223;4126448;4126903	4125313;4125989;4126171;4126330;4126848;4127158	-;-;-;-;-;-	1575	146
gene:FGSG_12260	2;2;2;2	4127199;4127598;4127838;4128013	4127415;4127701;4127954;4128051	+;+;+;+	477	1
gene:FGSG_04413	2;2;2	4129096;4130146;4130850	4130089;4130751;4130968	-;-;-	1719	2204
gene:FGSG_04412	2;2;2	4132226;4132503;4132985	4132450;4132930;4133282	-;-;-	951	967
gene:FGSG_04411	2	4134336	4135328	-	993	1219
gene:FGSG_04410	2;2;2;2;2	4135744;4135971;4136083;4136184;4136838	4135908;4135990;4136133;4136789;4137115	+;+;+;+;+	1120	8051
gene:FGSG_04409	2;2;2;2	4137089;4137186;4137557;4137914	4137136;4137507;4137879;4138129	-;-;-;-	909	94
gene:FGSG_04408	2;2;2;2;2;2	4139134;4139475;4139556;4139654;4139950;4142457	4139424;4139503;4139604;4139903;4142406;4143736	+;+;+;+;+;+	4356	65
gene:FGSG_04407	2;2;2	4143904;4144459;4144615	4144410;4144564;4144754	-;-;-	753	620
gene:FGSG_12261	2;2;2;2;2	4145988;4146372;4147172;4147460;4147913	4146316;4147121;4147200;4147855;4148377	+;+;+;+;+	1969	1674
gene:FGSG_04404	2;2	4148399;4149469	4149419;4150166	-;-	1719	2264
gene:FGSG_04403	2;2	4150645;4150878	4150818;4153279	+;+	2576	3785
gene:FGSG_04402	2;2	4153337;4154060	4153973;4154196	-;-	774	5090
gene:FGSG_12262	2	4156460	4156771	-	312	0
gene:FGSG_04401	2;2	4160050;4160953	4160904;4161498	-;-	1401	4511
gene:FGSG_04400	2;2;2;2;2	4164703;4165278;4165431;4165708;4165943	4164973;4165305;4165628;4165842;4166949	+;+;+;+;+	1639	33291
gene:FGSG_04399	2;2	4167254;4167584	4167526;4167740	-;-	430	26039
gene:FGSG_04398	2;2;2;2	4168565;4168662;4169297;4169529	4168593;4169234;4169459;4170425	-;-;-;-	1662	375
gene:FGSG_04397	2;2;2	4171170;4171870;4173009	4171821;4172956;4173571	-;-;-	2302	600
gene:FGSG_04396	2	4176261	4177259	-	999	261
gene:FGSG_04395	2;2;2	4177658;4177798;4178052	4177744;4177984;4178401	+;+;+	624	1240
gene:FGSG_04394	2;2	4179183;4179307	4179202;4180354	+;+	1068	678
gene:FGSG_04393	2;2;2;2	4180595;4181039;4182208;4182453	4180988;4182141;4182362;4182498	-;-;-;-	1698	1529
gene:FGSG_04392	2;2;2	4184129;4185284;4185515	4185227;4185343;4185539	-;-;-	1184	3140
gene:FGSG_04391	2;2;2;2;2;2;2	4185883;4186025;4186136;4186320;4186479;4186944;4187289	4185975;4186083;4186229;4186437;4186732;4186973;4187354	+;+;+;+;+;+;+	714	612
gene:FGSG_04390	2;2;2	4187955;4189077;4189441	4189020;4189102;4189530	+;+;+	1182	227
gene:FGSG_04388	2	4192532	4193389	+	858	263
gene:FGSG_12263	2;2;2	4194265;4194501;4195822	4194426;4195769;4196181	+;+;+	1791	1046
gene:FGSG_12264	2	4196463	4198427	+	1965	369
gene:FGSG_04386	2;2;2	4198734;4201013;4201199	4200955;4201149;4201212	-;-;-	2373	341
gene:FGSG_04385	2;2	4201507;4201978	4201922;4203229	+;+	1668	902
gene:FGSG_04384	2	4203618	4205262	+	1645	3008
gene:FGSG_04383	2	4205392	4206783	-	1392	4
gene:FGSG_04382	2;2;2;2	4207310;4208176;4208607;4208958	4208123;4208557;4208906;4209777	-;-;-;-	2316	4392
gene:FGSG_04381	2;2;2;2;2;2;2	4213077;4213390;4213712;4215739;4215931;4216597;4216891	4213180;4213525;4215689;4215883;4216435;4216834;4217057	-;-;-;-;-;-;-	3273	68
gene:FGSG_20010	2	4213388	4213503	+	116	1
gene:FGSG_12265	2	4218051	4218350	+	300	0
gene:FGSG_04380	2;2	4219396;4219805	4219743;4220533	+;+	1077	0
gene:FGSG_04379	2	4221238	4222305	-	1068	77
gene:FGSG_04378	2;2;2	4222890;4225728;4226303	4225680;4226242;4226608	-;-;-	3612	54
gene:FGSG_04377	2;2;2	4227468;4227648;4227974	4227590;4227814;4228028	-;-;-	345	19
gene:FGSG_04376	2	4228564	4229436	-	873	8
gene:FGSG_04375	2;2;2;2	4229725;4231031;4231119;4231592	4230952;4231070;4231476;4232236	+;+;+;+	2271	121
gene:FGSG_04374	2;2	4232733;4233106	4233059;4233456	-;-	678	0
gene:FGSG_04373	2;2	4236081;4236486	4236385;4236819	+;+	639	0
gene:FGSG_04372	2;2	4237651;4238278	4238201;4238293	+;+	567	328
gene:FGSG_04371	2;2;2	4238484;4238899;4239131	4238837;4239075;4239496	-;-;-	897	12
gene:FGSG_04370	2;2	4240310;4241002	4240946;4242771	-;-	2407	4300
gene:FGSG_04369	2;2;2	4243906;4244671;4245513	4244619;4245458;4245698	-;-;-	1688	558
gene:FGSG_04368	2;2	4245990;4247250	4247200;4247292	-;-	1254	4
gene:FGSG_04367	2	4248764	4249816	+	1053	37
gene:FGSG_04366	2;2	4250824;4251117	4251003;4254023	+;+	3087	1390
gene:FGSG_04365	2;2;2	4254642;4255151;4255412	4255102;4255360;4256156	-;-;-	1416	457
gene:FGSG_04364	2	4256890	4257570	-	681	290
gene:FGSG_04363	2;2;2	4258048;4258836;4259061	4258745;4258999;4259877	-;-;-	1679	7846
gene:FGSG_04362	2	4263680	4264801	-	1122	4480
gene:FGSG_04361	2;2;2;2	4265592;4265837;4267608;4268001	4265749;4267560;4267950;4269669	+;+;+;+	3894	1869
gene:FGSG_04360	2;2	4271337;4271781	4271750;4272110	+;+	744	2
gene:FGSG_20563	2	4273015	4273110	+	96	2
gene:FGSG_04359	2	4273854	4275518	-	1665	391
gene:FGSG_04358	2;2;2	4276217;4276687;4277030	4276255;4276969;4278936	+;+;+	2229	328
gene:FGSG_04357	2;2	4279144;4280786	4280717;4281634	-;-	2423	2179
gene:FGSG_04356	2;2;2;2;2;2	4282858;4283753;4283978;4284955;4285277;4285416	4283705;4283918;4284675;4285162;4285357;4285578	-;-;-;-;-;-	2164	1014
gene:FGSG_04355	2;2	4286579;4287670	4287612;4287941	-;-	1306	770
gene:FGSG_12266	2;2;2	4288278;4288852;4289387	4288802;4289331;4289686	-;-;-	1305	493
gene:FGSG_04354	2;2	4291462;4291939	4291878;4292574	-;-	1053	591
gene:FGSG_20011	2	4293603	4293718	+	116	1
gene:FGSG_12267	2;2	4299304;4299627	4299570;4299920	+;+	561	3229
gene:FGSG_12268	2;2	4301232;4301434	4301375;4301630	-;-	341	20
gene:FGSG_04353	2;2	4302070;4302316	4302248;4302708	+;+	572	899
gene:FGSG_04352	2	4303291	4304321	+	1031	853
gene:FGSG_04351	2;2;2;2;2;2	4304281;4304721;4305985;4306243;4307620;4307765	4304661;4305937;4306195;4307560;4307701;4307798	-;-;-;-;-;-	3243	1357
gene:FGSG_04350	2;2	4310470;4311021	4310967;4312298	-;-	1776	4136
gene:FGSG_04349	2;2;2;2	4313404;4313507;4314949;4315153	4313449;4314897;4315102;4315262	+;+;+;+	1701	824
gene:FGSG_04348	2	4317118	4317816	+	699	10
gene:FGSG_12269	2	4320275	4320607	+	333	14
gene:FGSG_04347	2	4320962	4321792	-	831	26
gene:FGSG_04346	2;2	4322101;4323614	4323464;4323632	-;-	1383	0
gene:FGSG_04345	2;2;2	4325134;4326095;4326297	4326039;4326242;4326604	+;+;+	1362	8
gene:FGSG_04344	2;2;2	4327732;4328169;4328359	4328115;4328274;4328531	-;-;-	663	2
gene:FGSG_04343	2;2;2;2	4328954;4329770;4330409;4330575	4329707;4330359;4330522;4331490	+;+;+;+	2374	884
gene:FGSG_04342	2;2;2;2;2	4332137;4332650;4332748;4333159;4333234	4332602;4332690;4333112;4333181;4333511	-;-;-;-;-	1173	124
gene:FGSG_04341	2;2	4335127;4335698	4335630;4336045	+;+	852	0
gene:FGSG_04340	2	4336488	4337102	+	615	84
gene:FGSG_12270	2;2;2	4337510;4338824;4339193	4338768;4339138;4339492	-;-;-	1874	3865
gene:FGSG_12271	2;2;2	4339947;4340382;4340643	4340309;4340569;4340943	-;-;-	852	110
gene:FGSG_04339	2	4344455	4346998	-	2544	904
gene:FGSG_12272	2;2;2	4348640;4348839;4351385	4348786;4351283;4351579	-;-;-	2787	864
gene:FGSG_12273	2;2;2;2;2	4352053;4352248;4353075;4353476;4354722	4352198;4353025;4353425;4354658;4354804	-;-;-;-;-	2541	1453
gene:FGSG_04336	2;2;2	4356187;4359251;4360798	4359200;4360099;4361023	-;-;-	4089	4
gene:FGSG_04335	2;2;2;2;2	4362011;4362256;4362739;4363491;4363850	4362109;4362676;4363438;4363798;4363905	+;+;+;+;+	1584	88
gene:FGSG_04334	2;2	4365867;4366988	4366928;4367440	+;+	1515	1589
gene:FGSG_04333	2;2;2	4367721;4368118;4368896	4368064;4368827;4369569	-;-;-	1728	2366
gene:FGSG_04332	2;2;2;2	4373180;4374942;4375142;4375850	4374685;4375092;4375340;4375964	-;-;-;-	1971	1264
gene:FGSG_04331	2;2;2;2;2	4377994;4379607;4381287;4381440;4381571	4379549;4381212;4381373;4381511;4381621	-;-;-;-;-	3372	0
gene:FGSG_04330	2;2;2	4386773;4387064;4387221	4387006;4387170;4388212	-;-;-	1333	1234
gene:FGSG_12274	2	4389155	4389481	+	327	2
gene:FGSG_04329	2;2	4389768;4390170	4390121;4390955	+;+	1140	572
gene:FGSG_04328	2;2;2;2;2;2;2	4391139;4393401;4395515;4395831;4395971;4396023;4396173	4393289;4395064;4395515;4395911;4395991;4396068;4396195	-;-;-;-;-;-;-	3987	252
gene:FGSG_04327	2;2;2;2;2	4396987;4397199;4397291;4397746;4397888	4397119;4397211;4397680;4397826;4398448	+;+;+;+;+	1178	8757
gene:FGSG_04326	2;2;2	4398830;4399102;4399369	4399039;4399319;4400147	+;+;+	1207	3469
gene:FGSG_04325	2;2	4401191;4402009	4401958;4402515	+;+	1275	398
gene:FGSG_04324	2;2;2;2;2	4403849;4405447;4405558;4405703;4405932	4405391;4405510;4405650;4405855;4406258	+;+;+;+;+	2180	660
gene:FGSG_04323	2;2	4407796;4408329	4408287;4409468	+;+	1632	1087
gene:FGSG_04322	2	4410998	4413301	-	2304	294
gene:FGSG_04321	2;2;2	4415324;4417707;4417924	4417656;4417801;4417999	+;+;+	2504	443
gene:FGSG_20012	2	4422143	4422258	+	116	1
gene:FGSG_04320	2;2	4423179;4425168	4425113;4425405	-;-	2173	2062
gene:FGSG_04319	2;2	4426310;4426667	4426594;4427947	+;+	1566	537
gene:FGSG_12275	2;2;2	4428441;4429410;4429868	4429358;4429805;4429972	-;-;-	1419	407
gene:FGSG_12276	2	4430548	4437180	-	6633	339
gene:FGSG_04317	2;2;2;2;2	4438531;4438842;4439468;4439585;4440027	4438785;4439417;4439529;4439979;4440274	-;-;-;-;-	1536	16
gene:FGSG_04316	2;2;2;2;2	4440813;4441084;4442064;4442200;4442435	4440831;4441406;4442146;4442299;4443199	+;+;+;+;+	1290	329
gene:FGSG_04315	2;2;2	4443653;4444337;4444585	4444002;4444530;4444927	+;+;+	887	40403
gene:FGSG_04314	2;2	4445019;4446162	4446108;4446886	-;-	1815	541
gene:FGSG_04313	2;2;2;2;2;2	4448016;4448175;4448356;4448505;4448672;4449753	4448103;4448299;4448455;4448617;4449699;4450575	+;+;+;+;+;+	2277	17475
gene:FGSG_04312	2;2;2;2;2;2;2	4452207;4452359;4452577;4452674;4452813;4452910;4453606	4452257;4452491;4452598;4452759;4452855;4453421;4454531	+;+;+;+;+;+;+	1773	106775
gene:FGSG_04311	2	4455247	4456764	-	1518	735
gene:FGSG_04310	2	4458203	4461247	+	3045	1468
gene:FGSG_04309	2;2	4462314;4463192	4463138;4465802	-;-	3436	14643
gene:FGSG_04308	2;2	4467218;4469077	4469019;4469215	-;-	1941	1212
gene:FGSG_04307	2;2;2;2;2	4470649;4470973;4471895;4472561;4472671	4470920;4471846;4472499;4472613;4472699	+;+;+;+;+	1833	2
gene:FGSG_04306	2	4473058	4473945	-	888	1480
gene:FGSG_04305	2;2;2	4475112;4475420;4475492	4475351;4475434;4476670	+;+;+	1434	36
gene:FGSG_04304	2	4477050	4478360	+	1311	1345
gene:FGSG_04303	2;2;2;2	4478785;4479653;4479851;4479978	4479600;4479802;4479924;4480056	-;-;-;-	1119	0
gene:FGSG_04302	2;2;2;2	4481360;4481459;4482140;4482482	4481402;4482081;4482433;4483444	+;+;+;+	1923	50
gene:FGSG_04301	2	4485747	4486706	-	960	294
gene:FGSG_12277	2	4491157	4491570	+	414	1
gene:FGSG_04300	2;2	4496866;4497182	4497043;4498278	+;+	1275	370
gene:FGSG_04299	2;2;2;2;2	4499085;4500896;4501218;4501807;4501901	4500848;4501081;4501769;4501843;4502061	-;-;-;-;-	2700	70
gene:FGSG_04298	2;2;2;2;2;2;2;2	4504830;4505329;4505681;4506399;4507484;4507910;4507984;4508221	4505270;4505625;4506313;4507429;4507789;4507952;4508133;4508289	-;-;-;-;-;-;-;-	2970	901
gene:FGSG_04297	2;2;2;2	4509603;4509727;4509934;4511082	4509663;4509881;4511036;4511142	+;+;+;+	1380	1231
gene:FGSG_04296	2;2	4511840;4512208	4512147;4513996	-;-	2097	295
gene:FGSG_04295	2;2;2;2;2;2	4516926;4517071;4517258;4517570;4517743;4518126	4516929;4517202;4517511;4517686;4518073;4519573	+;+;+;+;+;+	2286	1248
gene:FGSG_04294	2;2;2;2	4519890;4521940;4523383;4523565	4521824;4523071;4523418;4523629	-;-;-;-	3168	502
gene:FGSG_04293	2;2	4524053;4524851	4524793;4525920	-;-	1811	2076
gene:FGSG_12278	2;2	4529823;4530097	4529948;4530621	+;+	651	9
gene:FGSG_04292	2;2	4530948;4531949	4531895;4532982	-;-	1982	1570
gene:FGSG_04291	2;2	4533242;4533478	4533423;4538380	+;+	5085	5059
gene:FGSG_04290	2;2;2	4538668;4539268;4539482	4539209;4539404;4539644	-;-;-	842	65177
gene:FGSG_04289	2;2;2	4540876;4541146;4541337	4541020;4541283;4541884	+;+;+	831	32142
gene:FGSG_04288	2	4547767	4550424	+	2658	672
gene:FGSG_04287	2;2	4551448;4551771	4551713;4556411	-;-	4907	4110
gene:FGSG_04286	2;2;2	4556955;4557067;4557435	4557009;4557380;4557931	+;+;+	866	1629
gene:FGSG_04285	2;2;2;2;2;2	4557899;4558228;4558385;4558835;4558909;4559078	4558177;4558334;4558759;4558845;4559021;4559129	-;-;-;-;-;-	937	4026
gene:FGSG_04284	2;2;2	4559574;4559790;4560022	4559726;4559960;4562395	+;+;+	2698	2653
gene:FGSG_04283	2;2	4562407;4562630	4562572;4562762	-;-	299	38
gene:FGSG_12279	2;2;2	4563871;4563954;4564148	4563906;4564023;4564398	+;+;+	357	2
gene:FGSG_04282	2;2	4564737;4565641	4565592;4566512	+;+	1728	864
gene:FGSG_04281	2;2;2;2;2;2	4566984;4567128;4567270;4567461;4567911;4568462	4567071;4567198;4567402;4567858;4568360;4568500	+;+;+;+;+;+	1179	154
gene:FGSG_04280	2;2;2	4568816;4570752;4570913	4570687;4570852;4571864	-;-;-	2925	319
gene:FGSG_04279	2;2;2;2;2;2;2;2	4572505;4572853;4573289;4573451;4573993;4574281;4574617;4577222	4572801;4573235;4573395;4573860;4574230;4574570;4577150;4577654	-;-;-;-;-;-;-;-	4692	2593
gene:FGSG_04278	2;2;2;2;2	4578637;4579005;4579157;4579535;4580309	4578951;4579100;4579476;4580214;4580385	-;-;-;-;-	1488	1102
gene:FGSG_04277	2;2	4582519;4582710	4582636;4583443	+;+	852	1662
gene:FGSG_04276	2;2;2	4584506;4584609;4587138	4584534;4587070;4587424	+;+;+	2778	604
gene:FGSG_04275	2	4587684	4588666	-	983	1887
gene:FGSG_04274	2;2	4589060;4589816	4589754;4590251	-;-	1131	604
gene:FGSG_04273	2;2	4590436;4590967	4590885;4591540	+;+	1024	3194
gene:FGSG_04272	2;2	4591235;4592243	4592192;4592283	-;-	999	1916
gene:FGSG_04271	2	4592970	4593976	+	1007	1499
gene:FGSG_04270	2;2	4593986;4596253	4596188;4596256	-;-	2207	887
gene:FGSG_12280	2	4597332	4597871	-	540	2
gene:FGSG_12281	2;2;2;2	4598425;4598730;4599148;4599559	4598669;4599095;4599409;4599564	-;-;-;-	879	33
gene:FGSG_12282	2;2;2	4600133;4600695;4600991	4600625;4600914;4601039	-;-;-	762	32
gene:FGSG_20013	2	4605905	4606020	+	116	0
gene:FGSG_04268	2;2;2;2	4606388;4606798;4607159;4607787	4606743;4607107;4607734;4608146	-;-;-;-	1602	2303
gene:FGSG_04267	2;2;2;2;2	4609695;4609911;4610253;4610799;4611235	4609855;4610206;4610445;4611181;4611590	+;+;+;+;+	1389	20
gene:FGSG_04266	2	4611945	4614218	-	2274	1279
gene:FGSG_04265	2	4614635	4615715	+	1081	1010
gene:FGSG_04264	2;2;2	4615739;4616154;4616654	4616098;4616604;4618100	-;-;-	2258	1772
gene:FGSG_04263	2	4619098	4622320	+	3223	826
gene:FGSG_04262	2;2	4622483;4624052	4623995;4624260	-;-	1722	263
gene:FGSG_04261	2;2	4624805;4625303	4625242;4626738	+;+	1874	4390
gene:FGSG_04260	2;2;2;2;2	4626878;4627299;4627465;4627580;4627943	4627245;4627407;4627520;4627889;4628289	-;-;-;-;-	1190	2205
gene:FGSG_04259	2;2	4629541;4629647	4629590;4630967	+;+	1371	606
gene:FGSG_04258	2;2	4631231;4631969	4631917;4632313	-;-	1032	245
gene:FGSG_04257	2;2;2;2;2	4632981;4633084;4633188;4633437;4634327	4633034;4633139;4633381;4634279;4634493	+;+;+;+;+	1314	602
gene:FGSG_04256	2;2;2	4634900;4635885;4636267	4635835;4636215;4636439	-;-;-	1440	500
gene:FGSG_04255	2;2;2	4636977;4637306;4638578	4637254;4638519;4638717	-;-;-	1632	808
gene:FGSG_04254	2;2	4639047;4640189	4640137;4640606	-;-	1509	748
gene:FGSG_04253	2	4640896	4641855	+	960	371
gene:FGSG_04252	2;2;2	4642309;4642514;4642838	4642444;4642785;4642879	+;+;+	450	472
gene:FGSG_04251	2;2	4643337;4643962	4643910;4644257	-;-	870	94
gene:FGSG_04250	2;2;2;2;2	4645004;4645130;4645305;4646042;4646363	4645019;4645243;4645844;4646305;4646544	+;+;+;+;+	1116	6
gene:FGSG_12283	2;2;2	4647430;4647608;4648140	4647550;4648001;4648215	-;-;-	591	12
gene:FGSG_12284	2	4648632	4648973	-	342	3
gene:FGSG_04248	2;2;2;2;2	4649918;4650167;4650299;4650440;4650555	4650117;4650243;4650382;4650508;4650955	+;+;+;+;+	831	982
gene:FGSG_04247	2;2;2	4651360;4651422;4651593	4651371;4651544;4652528	+;+;+	1071	14
gene:FGSG_04246	2;2;2	4653130;4653346;4654365	4653236;4654308;4654707	+;+;+	1413	0
gene:FGSG_12285	2;2;2	4656177;4656627;4656755	4656481;4656697;4656987	+;+;+	609	2
gene:FGSG_04245	2;2;2	4658560;4658814;4659067	4658763;4659013;4662046	+;+;+	3384	20
gene:FGSG_04244	2;2	4662438;4662925	4662874;4663551	-;-	1064	24
gene:FGSG_04243	2;2;2	4664883;4665150;4665384	4665091;4665330;4666917	+;+;+	1924	3126
gene:FGSG_04242	2;2;2;2	4667447;4668007;4668685;4669248	4667952;4668633;4669198;4669970	+;+;+;+	2370	1109
gene:FGSG_12286	2;2;2;2	4670410;4670800;4670879;4670982	4670561;4670853;4670929;4671063	-;-;-;-	339	0
gene:FGSG_04241	2;2;2;2;2	4671126;4671517;4671636;4671721;4672428	4671136;4671583;4671676;4672380;4672470	+;+;+;+;+	822	0
gene:FGSG_04240	2;2	4674346;4676041	4675989;4676439	+;+	2043	0
gene:FGSG_04239	2;2;2;2	4677546;4677799;4678109;4678338	4677699;4678055;4678287;4678368	+;+;+;+	621	14
gene:FGSG_04238	2;2	4678648;4679936	4679886;4681060	-;-	2364	251
gene:FGSG_04237	2;2;2;2	4682404;4682968;4683397;4684252	4682871;4683349;4684202;4684563	+;+;+;+	1968	2452
gene:FGSG_04236	2;2;2	4684675;4684903;4685898	4684860;4685849;4686171	-;-;-	1407	8
gene:FGSG_04235	2;2;2;2	4689106;4689769;4690886;4691000	4689716;4690828;4690941;4691303	-;-;-;-	2031	1215
gene:FGSG_04234	2;2	4694906;4695591	4695534;4695969	+;+	1008	4066
gene:FGSG_04233	2	4696598	4698172	-	1575	307
gene:FGSG_04232	2;2;2	4702763;4703106;4703646	4702924;4703581;4705230	+;+;+	2223	31783
gene:FGSG_04231	2;2	4706083;4706775	4706710;4706995	+;+	849	121
gene:FGSG_04230	2;2;2;2;2	4707406;4707499;4707907;4708287;4708638	4707447;4707840;4708226;4708501;4708642	-;-;-;-;-	924	747
gene:FGSG_04229	2;2	4709647;4710605	4710554;4710713	+;+	1017	0
gene:FGSG_12287	2	4710826	4711257	-	432	2
gene:FGSG_04228	2	4712259	4712735	-	477	0
gene:FGSG_12288	2	4713148	4713615	+	468	0
gene:FGSG_04227	2;2	4714237;4714813	4714711;4715033	-;-	696	414
gene:FGSG_04226	2;2	4717609;4717982	4717931;4718693	-;-	1035	472
gene:FGSG_04225	2	4720775	4722004	-	1230	61
gene:FGSG_04224	2;2	4724821;4726041	4725950;4727370	+;+	2460	13
gene:FGSG_04223	2;2;2;2	4728817;4729241;4729485;4729947	4729189;4729426;4729890;4730148	+;+;+;+	1167	15760
gene:FGSG_04222	2;2;2	4730476;4731022;4731622	4730967;4731503;4731836	-;-;-	1189	2525
gene:FGSG_04221	2;2	4732241;4732578	4732522;4734568	+;+	2273	568
